	SRR5650119	SRR3131760	SRR3131720	SRR5650133	SRR3131748	SRR3131740	SRR5650117	SRR5650120	SRR5650148	SRR5650158	SRR5650110	SRR3131708	SRR3131736	SRR5650153	SRR3131722	SRR5650150	SRR5650136	SRR5650143	SRR3131752	SRR5650127	SRR5650144	SRR3131750	SRR5650130	SRR5650111	SRR3131696	SRR3131762	SRR3131786	SRR5650132	SRR5650135	SRR3131756	SRR5650126	SRR3131712	SRR5650137	SRR3131702	SRR5650113	SRR3131744	SRR3131770	SRR5650121	SRR3131732	SRR3131768	SRR3131788	SRR3131694	SRR5650116	SRR3131728	SRR5650142	SRR3131698	SRR5650157	SRR3131772	SRR3131782	SRR5650118	SRR5650151	SRR5650141	SRR5650146	SRR5650128	SRR5650139	SRR5650123	SRR5650145	SRR3131730	SRR5650155	SRR5650129	SRR3131754	SRR3131700	SRR3131742	SRR3131812	SRR3131758	SRR3131714	SRR3131764	SRR5650147	SRR5650138	SRR5650112	SRR3131776	SRR5650115	SRR5650114	SRR3131774	SRR3131716	SRR3131790	SRR5650131	SRR5650152	SRR5650122	SRR3131780	SRR3131706	SRR5650154	SRR5650125	SRR3131718	SRR5650124	SRR3131710	SRR5650159	SRR3131738	SRR3131692	SRR3131704	SRR3131724	SRR3131766	SRR5650134	SRR3131726	SRR3131734	SRR3131778	SRR3131784	SRR5650156	SRR3131746	SRR5650140	SRR5650149
adult_c_000009903337_1	36	0	0	132	0	0	10	60	4	4	16	0	0	6	0	12	2	13822	0	8	14	0	4	0	0	0	0	142	0	0	4	0	730	0	44	0	0	6	0	0	0	0	0	0	40	0	2	0	0	14	0	6	32	8	20	212	8	0	6	38	0	0	0	0	0	0	0	4	1148	6	0	2	2	0	0	0	2	2	0	0	0	4	14	0	1074	0	2	0	0	0	0	0	12	0	0	0	0	8	0	14	6
adult_c_000009903506_1	12	0	0	2554	0	0	4	18	6	0	10	0	0	2	0	126	8	19050	0	4	6	0	6	2	0	0	0	3272	4	0	2	0	136	0	120	0	0	4	0	0	0	0	0	0	4	0	2	0	0	6	0	12	4	8	4	2	2	0	46	10	0	0	0	0	0	0	0	242	130	154	0	4	2	0	0	0	8	0	2	0	0	0	14	0	2	0	0	0	0	0	0	0	640	0	0	0	0	18	0	12	124
adult_c_000009903659_1	2	0	0	4	0	0	0	4	4	0	6	0	0	0	0	10	0	1130	0	4	2	0	6	0	0	0	0	2	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	8	0	2	0	0	2	4	0	0	0	0	0	0	0	2	130	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0
adult_c_000009903689_1	12	0	0	44	0	0	20	4	12	2	10	0	0	0	0	4	2	19000	0	4	2	0	4	0	0	0	0	26	2	0	6	0	816	0	10	0	0	4	0	0	0	0	0	0	8	0	0	0	0	18	0	4	4	6	4	4	4	0	14	10	0	0	0	0	0	0	0	8	1202	8	0	0	0	0	0	0	4	0	0	0	0	0	36	0	2	0	4	0	0	0	0	0	2	0	0	0	0	34	0	12	8
adult_c_000009903762_1	4	0	0	74	0	0	44	2	82	14	192	0	0	140	0	46	296	11402	0	12	138	0	24	56	0	0	0	474	72	0	2	0	1102	0	62	0	0	4	0	0	0	0	2	0	60	0	10	0	0	10	106	284	150	526	88	6	124	0	8	76	0	0	0	0	0	0	0	6	2814	2	0	2	32	0	0	0	2	104	10	0	0	132	8	0	2	0	54	0	0	0	0	0	10	0	0	0	0	38	0	74	10
adult_c_000009904452_1	12	0	0	6	0	0	8	6	2	62	60	0	0	2	0	20	0	1308	0	0	8	0	6	14	0	0	0	4	4	0	2	0	2	0	4	0	0	2	0	0	0	0	0	0	4	0	162	0	0	4	2	10	4	0	8	16	2	0	2	8	0	0	0	0	0	0	0	4	2	0	0	2	10	0	0	0	0	2	0	0	0	0	30	0	2	0	42	0	0	0	0	0	0	0	0	0	0	6	0	6	0
adult_c_000009904612_1	190	0	0	462	0	0	234	526	1016	24	530	0	0	260	0	686	506	2952	0	180	108	0	44	150	0	0	0	1268	90	0	0	0	990	0	488	0	0	284	0	0	0	0	24	0	86	0	42	0	0	6	612	62	40	464	66	102	132	0	1070	940	0	0	0	0	0	0	0	2736	2850	254	0	4	42	0	0	0	44	746	364	0	0	76	0	0	318	0	28	0	0	0	0	0	516	0	0	0	0	3178	0	34	1272
adult_c_000009905953_1	500	0	0	178	0	0	132	296	166	94	698	0	0	168	0	406	318	1280	0	130	224	0	42	60	0	38	0	204	68	0	160	0	216	0	226	0	0	96	0	0	8	0	6	0	234	0	62	0	0	78	122	72	24	212	142	70	250	0	120	412	0	0	0	0	0	0	0	382	76	28	0	6	40	0	0	0	16	112	62	0	0	70	92	0	38	8	96	0	0	0	0	0	50	0	0	0	0	256	0	232	150
adult_c_000009906197_1	5838	0	0	3664	100	6	1602	3264	562	1742	3266	0	0	376	0	342	616	15046	0	726	1150	0	188	342	112	54	0	3952	166	740	590	0	2836	0	2626	0	0	2626	94	0	0	0	28	0	2072	0	1810	10	0	672	560	1372	736	710	2238	1454	1190	0	762	2346	0	0	0	0	0	0	0	1274	3938	448	0	3182	530	0	0	0	170	590	1712	0	0	194	3008	0	2130	0	2314	0	0	0	0	0	1160	0	0	0	0	1594	0	2796	1050
adult_c_000010252652_1	12	0	0	120	0	0	12	6	40114	2	424	0	0	13700	0	2	35418	10	0	4	260	0	16	38	0	0	0	56	10554	0	0	0	2	0	30	0	0	4	0	0	0	0	2	0	446	0	0	0	0	16	25732	4228	506	32298	308	20	470	0	8	22	0	0	0	0	0	0	0	8	4	6	0	0	20	0	0	0	2	32998	2	0	0	10372	4	0	4	0	0	0	0	0	0	0	4	0	0	0	0	16	0	352	4
